Paper_ID	Year	Domain	System_specific	Phylum	Class	Order	Family	Genus 	species	Ecological_Classification	Control	Control_identity	Congeneric_control	Response_variable	Response_Group	Predictor_variable	Predictor_Group	Statistical_method	Test_statistic	Value	df	N	Direction_of_effect	P-value	Pearson_r_conversion	Notes	Compiler
CC_0001	2018	Terrestrial	Cave ; Mine	Arthopoda	Arachnida	Araneae	Linyphiidae	Troglohyphantes	spp.	Troglophile/Stygophile	yes	Low specialized Troglohyphantes (T. lucifuga; T. lucifer; T. pluto)	yes	ΔCT (temperature at which 100% individuals experienced total paralysis relative to the mean annual cave temperature at which the specimens were sampled)	Temperature	Survival over time	Mortality	GLMM	z	7,5263	NA	224	+	<0,01	0,503	sign flipped; z-values is obtained by estimated beta / SE	Stefano Mammola
CC_0001	2018	Terrestrial	Cave ; Mine	Arthopoda	Arachnida	Araneae	Linyphiidae	Troglohyphantes	spp.	Troglobiont/Stygobiont	yes	Low specialized Troglohyphantes (T. lucifuga; T. lucifer; T. pluto)	yes	ΔCT (temperature at which 100% individuals experienced total paralysis relative to the mean annual cave temperature at which the specimens were sampled)	Temperature	Survival over time	Mortality	GLMM	z	9,7143	NA	224	+	<0,01	0,649	sign flipped; z-values is obtained by estimated beta / SE	Stefano Mammola
Test_00003	2019	Aquatic	Calcrete	Arthopoda	Hexapoda	Coleoptera	Dytiscidae	Paroster	macrosturtensis	Troglobiont/Stygobiont	yes	Surface dytiscidae (Allodessus bistrigatus)	no	CTmax	Temperature	Survival over time	Mortality	ANCOVA	F	12,4060	27	29	+	<0,001	0,922	only p-values in the paper, estimates provided by email	Stefano Mammola
Test_00003	2019	Aquatic	Calcrete	Arthopoda	Hexapoda	Coleoptera	Dytiscidae	Paroster	mesosturtensis	Troglobiont/Stygobiont	yes	Surface dytiscidae (Allodessus bistrigatus)	no	CTmax	Temperature	Survival over time	Mortality	ANCOVA	F	10,6300	27	29	+	<0,001	0,898	only p-values in the paper, estimates provided by email	Stefano Mammola
Test_00003	2019	Aquatic	Calcrete	Arthopoda	Hexapoda	Coleoptera	Dytiscidae	Paroster	macrosturtensis	Troglobiont/Stygobiont	yes	Surface dytiscidae (Limbodessus amabilis)	no	CTmax	Temperature	Survival over time	Mortality	ANCOVA	F	12,0310	27	29	+	<0,001	0,918	only p-values in the paper, estimates provided by email	Stefano Mammola
Test_00003	2019	Aquatic	Calcrete	Arthopoda	Hexapoda	Coleoptera	Dytiscidae	Paroster	mesosturtensis	Troglobiont/Stygobiont	yes	Surface dytiscidae (Limbodessus amabilis)	no	CTmax	Temperature	Survival over time	Mortality	ANCOVA	F	9,5570	27	29	+	<0,001	0,879	only p-values in the paper, estimates provided by email	Stefano Mammola
Test_00003	2019	Aquatic	Calcrete	Arthopoda	Hexapoda	Coleoptera	Dytiscidae	Paroster	macrosturtensis	Troglobiont/Stygobiont	yes	Surface dytiscidae (Paroster nigroadumbratus)	no	CTmax	Temperature	Survival over time	Mortality	ANCOVA	F	17,9080	27	29	+	<0,001	0,960	only p-values in the paper, estimates provided by email	Stefano Mammola
Test_00003	2019	Aquatic	Calcrete	Arthopoda	Hexapoda	Coleoptera	Dytiscidae	Paroster	mesosturtensis	Troglobiont/Stygobiont	yes	Surface dytiscidae (Paroster nigroadumbratus)	no	CTmax	Temperature	Survival over time	Mortality	ANCOVA	F	14,3600	27	29	+	<0,001	0,940	only p-values in the paper, estimates provided by email	Stefano Mammola
CC_0002	2014-2017	Terrestrial	Cave ; Mine	Arthopoda	Arachnida	Araneae	Linyphiidae	Troglohyphantes	spp.	Troglophile/Stygophile	no	Not applicable	Not applicable	Habitat temperature increase	Temperature	Probability of occurrence	Habitat availability	GLM	z	-2,1807	NA	33	-	0,02	-0,380	z-values is obtained by estimated beta / SE	Stefano Mammola
Test_00005	2012-2013	Terrestrial	Cave	Arthopoda	Hexapoda	Coleoptera	Carabidae	Sphodropsis	ghilianii	Troglophile/Stygophile	no	Not applicable	Not applicable	Habitat temperature increase	Temperature	Probability of occurrence	Habitat availability	GLM	z	3,3208	NA	288	-	<0,001	-0,196	Only quadratic term used; z-values is obtained by estimated beta / SE 	Stefano Mammola
Test_00005	2012-2013	Terrestrial	Cave	Arthopoda	Hexapoda	Coleoptera	Carabidae	Sphodropsis	ghilianii	Troglophile/Stygophile	no	Not applicable	Not applicable	Relative Humidity decrease	RH	Probability of occurrence	Habitat availability	GLM	z	2,6293	NA	288	-	0,008	-0,155	sign flipped; z-values is obtained by estimated beta / SE	Stefano Mammola
Test_00005	2012-2013	Terrestrial	Cave	Arthopoda	Hexapoda	Coleoptera	Cholevidae	Dellabeffaella	roccae	Troglobiont/Stygobiont	no	Not applicable	Not applicable	Relative Humidity decrease	RH	Probability of occurrence	Habitat availability	GLM	z	2,5214	NA	288	-	0,011	-0,149	sign flipped; z-values is obtained by estimated beta / SE	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (< 157.4 m)	Habitat availability	GLM	z	-1,9490	NA	1485	-	0,051	-0,051	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (157.5–192.9 m)	Habitat availability	GLM	z	-3,5390	NA	1485	-	<0,001	-0,092	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (193–228.4 m)	Habitat availability	GLM	z	-6,2620	NA	1485	-	<0,001	-0,162	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (228.5–263.9 m)	Habitat availability	GLM	z	-3,4600	NA	1485	-	<0,001	-0,090	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (264–299.4 m)	Habitat availability	GLM	z	-1,6770	NA	1485	-	0,094	-0,044	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (> 299.5)	Habitat availability	GLM	z	-0,3010	NA	1485	-	0,763	-0,008	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (riverbanks springs)	Habitat availability	GLM	z	-2,5180	NA	1485	-	0,012	-0,065	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (in the river valley)	Habitat availability	GLM	z	-3,3150	NA	1485	-	0,001	-0,086	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Under-slope springs)	Habitat availability	GLM	z	-6,4540	NA	1485	-	<0,001	-0,167	Sample size not entirely clear – inferred	Stefano Mammola
