Paper_ID;Source;Author;Title;Journal;Year_publication;doi;Geography;Country;Other_Geography;Latitude;Longitude;Study_type;Corresponding_emailed;Answer;Answer_positive;Notes;Compiler
Alert_00001;WOS_alert;Batori Z. et al.;Topographic Depressions Provide Potential Microrefugia For Ground-Dwelling Arthropods;Elementa;2022;https://doi.org/10.1525/elementa.2021.00084;Palearctic;Hungary;Mecsek Mountains;46,15;18,14;Field;no;Not applicable;Not applicable;-;Stefano Mammola
Alert_00002;WOS_alert;Isaia M. et al.;A Multi-Layered Approach Uncovers Overlooked Taxonomic And Physiological Diversity In Alpine Subterranean Spiders (Araneae: Linyphiidae: Troglohyphantes) ;Invertebrate systematics;2022;https://doi.org/10.1071/IS21054;Palearctic;Italy;Western Italian Alps;44,88;7,27;Laboratory;no;Not applicable;Not applicable;-;Stefano Mammola
Alert_00003;WOS_alert;Czenze J.Z. et al.;Caves, Crevices And Cooling Capacity: Roost Microclimate Predicts Heat Tolerance In Bats;Functional ecology;2022;https://doi.org/10.1111/1365-2435.13918;Afrotropical;South Africa;3 provinces;-33,28;26,42;Multiple;no;Not applicable;Not applicable;-;Stefano Mammola
Alert_00004;WOS_alert;Beasley-Hall P.G. et al.;Differential Transcriptomic Responses To Heat Stress In Surface And Subterranean Diving Beetles;Scientific reports;2022;https://doi.org/10.1038/s41598-022-20229-0;Australian;Australia;Western Australia;-24,90;120,72;Laboratory;no;Not applicable;Not applicable;;Susana Pallarés
Alert_00005;WOS_alert;Manenti R. et al.;Resistance Of Groundwater Invertebrates To Droughts: Two New Cases In Planarians And Isopods;Ecosphere;2022;https://doi.org/10.1002/ecs2.4214;Palearctic;Italy;Italian Alps and Apennines.;44,30;9,70;Field;no;Not applicable;Not applicable;-;Stefano Mammola
Alert_00006;WOS_alert;Di Lorenzo T. & Reboleira A.S.P.S.;Thermal acclimation and metabolic scaling of a groundwater asellid in the climate change scenario;Scientific reports;2022;https://doi.org/10.1038/s41598-022-20891-4;Palearctic;Portugal;Estremenho karst massif;39,49;-8,81;Laboratory;yes;yes;yes;-;Tiziana Di Lorenzo
Alert_00006_R1;Reference list;Simčič T. & Sket B.;Comparison of some epigean and troglobiotic animals regarding their metabolism intensity. Examination of a classical assertion;International journal of speleology;2019;https://doi.org/10.5038/1827-806X.48.2.2251;Palearctic;Slovenia;-;46,02;14,48;Laboratory;no;Not applicable;Not applicable;-;Tiziana Di Lorenzo
Alert_00007;WOS_alert;Cháves-Solís, E.M., et al.;Physiological characterization of Typhlatya cave shrimps: linking habitat with aerobic metabolism;Frontiers in Marine Science;2022;https://doi.org/10.3389/fmars.2022.892274;Neotropical;Mexico;Yucatan;20,70;-89,40;Laboratory;no;Not applicable;Not applicable;-;Melissa Meierhofer
Alert_00008;WOS_alert;Marcin, M., et al.;Karst Dolines Support Highly Diversified Soil Collembola Communities—Possible Refugia in a Warming Climate? ;Diversity;2022;https:// doi.org/10.3390/d14121037;Palearctic;Slovakia;Slovak Karst;48,30;20,78;Field;no;Not applicable;Not applicable;-;Stefano Mammola
Alert_00009;WOS_alert;Kreiling A-K. et al.;Invertebrate communities in springs across a gradient in thermal regimes ;Plos One;2022;https://doi.org/10.1371/journal.pone.0264501;Palearctic;Iceland;Iceland ;65,01;-18,00;Field;no;not applicable;not applicable; - ;Ilaria Vaccarelli
